event_time_s,label
1.820000,clench
3.800000,clench
6.220000,clench
8.880000,clench
11.320000,clench
13.500000,clench
16.240000,clench
18.600000,clench
21.120000,clench
23.820000,clench
25.980000,clench
28.360000,clench
31.060000,clench
33.480000,clench
35.840000,clench
38.040000,clench
40.840000,clench
43.120000,clench
45.820000,clench
48.300000,clench
50.860000,clench
53.340000,clench
55.620000,clench
58.180000,clench
60.620000,clench
63.040000,clench
65.620000,clench
67.980000,clench
70.220000,clench
72.520000,clench
