event_time_s,label
4.400000,clench
5.760000,clench
7.440000,clench
9.000000,clench
10.840000,clench
12.600000,clench
14.300000,clench
16.220000,clench
17.960000,clench
19.740000,clench
21.840000,clench
23.760000,clench
25.640000,clench
27.500000,clench
29.440000,clench
31.360000,clench
33.440000,clench
35.360000,clench
37.420000,clench
39.420000,clench
41.360000,clench
43.500000,clench
45.160000,clench
46.980000,clench
48.920000,clench
50.720000,clench
52.400000,clench
54.100000,clench
55.760000,clench
57.920000,clench
60.100000,clench
62.100000,clench
64.240000,clench
66.360000,clench
68.460000,clench
70.440000,clench
72.460000,clench
74.440000,clench
76.300000,clench
78.340000,clench
80.240000,clench
82.180000,clench
84.240000,clench
86.260000,clench
88.120000,clench
90.140000,clench
91.940000,clench
93.600000,clench
95.360000,clench
96.880000,clench
98.420000,clench
100.160000,clench
101.860000,clench
103.420000,clench
104.960000,clench
106.360000,clench
107.860000,clench
109.280000,clench
111.020000,clench
112.580000,clench
114.340000,clench
115.940000,clench
117.380000,clench
118.800000,clench
120.240000,clench
121.860000,clench
123.340000,clench
124.900000,clench
126.360000,clench
127.920000,clench
129.620000,clench
131.300000,clench
132.760000,clench
134.080000,clench
135.700000,clench
137.260000,clench
138.920000,clench
140.360000,clench
142.020000,clench
143.660000,clench
145.240000,clench
146.960000,clench
148.720000,clench
150.300000,clench
152.000000,clench
153.780000,clench
155.640000,clench
157.400000,clench
158.900000,clench
160.660000,clench
162.500000,clench
164.100000,clench
165.820000,clench
167.520000,clench
169.120000,clench
170.860000,clench
172.580000,clench
174.500000,clench
176.160000,clench
177.940000,clench
179.800000,clench
