event_time_s,label
4.680000,down
7.660000,down
10.860000,down
14.020000,down
17.100000,down
20.240000,down
23.220000,down
26.860000,down
30.100000,down
33.840000,down
37.420000,down
41.180000,down
44.940000,down
49.080000,down
53.060000,down
56.860000,down
61.220000,down
65.200000,down
68.860000,down
72.980000,down
77.080000,down
80.900000,down
84.740000,down
89.020000,down
93.060000,down
97.160000,down
101.440000,down
105.620000,down
109.780000,down
113.920000,down
