event_time_s,label
6.000000,down
9.380000,down
12.720000,down
16.140000,down
19.820000,down
23.560000,down
27.180000,down
30.780000,down
34.320000,down
37.860000,down
41.340000,down
44.680000,down
48.120000,down
51.460000,down
55.000000,down
58.680000,down
62.140000,down
65.940000,down
69.620000,down
73.440000,down
76.880000,down
80.720000,down
83.940000,down
86.680000,down
90.180000,down
93.280000,down
96.440000,down
99.560000,down
102.620000,down
105.840000,down
