event_time_s,label
2.600000,pinch
4.360000,pinch
6.040000,pinch
7.660000,pinch
9.420000,pinch
11.240000,pinch
12.860000,pinch
14.740000,pinch
16.740000,pinch
18.980000,pinch
21.140000,pinch
23.460000,pinch
25.720000,pinch
27.840000,pinch
30.260000,pinch
32.520000,pinch
34.420000,pinch
36.660000,pinch
39.020000,pinch
41.100000,pinch
43.220000,pinch
45.220000,pinch
47.400000,pinch
49.460000,pinch
51.540000,pinch
53.580000,pinch
55.460000,pinch
57.880000,pinch
59.860000,pinch
61.920000,pinch
63.720000,pinch
