event_time_s,label
2.580000,pinch
4.760000,pinch
7.060000,pinch
9.040000,pinch
11.620000,pinch
14.100000,pinch
16.660000,pinch
19.440000,pinch
22.160000,pinch
24.420000,pinch
26.600000,pinch
29.180000,pinch
31.980000,pinch
34.480000,pinch
36.960000,pinch
39.080000,pinch
42.120000,pinch
44.580000,pinch
47.720000,pinch
51.160000,pinch
53.780000,pinch
56.320000,pinch
58.980000,pinch
61.440000,pinch
63.860000,pinch
66.400000,pinch
68.680000,pinch
70.780000,pinch
72.960000,pinch
74.780000,pinch
