event_time_s,label
12.020000,clench
13.600000,clench
15.320000,clench
17.120000,clench
18.760000,clench
20.480000,clench
22.120000,clench
23.720000,clench
25.380000,clench
26.840000,clench
28.660000,clench
30.200000,clench
31.740000,clench
33.060000,clench
34.440000,clench
36.160000,clench
37.500000,clench
39.000000,clench
40.360000,clench
41.860000,clench
43.180000,clench
44.660000,clench
45.860000,clench
47.160000,clench
48.560000,clench
49.860000,clench
51.140000,clench
52.460000,clench
53.600000,clench
54.880000,clench
56.120000,clench
