event_time_s,label
2.100000,clench
4.460000,clench
6.840000,clench
9.320000,clench
12.120000,clench
14.480000,clench
17.000000,clench
19.280000,clench
21.760000,clench
24.100000,clench
26.580000,clench
28.780000,clench
31.160000,clench
33.720000,clench
36.440000,clench
39.080000,clench
41.940000,clench
44.720000,clench
47.320000,clench
49.960000,clench
52.680000,clench
55.320000,clench
58.220000,clench
61.140000,clench
64.020000,clench
66.800000,clench
69.880000,clench
73.260000,clench
76.440000,clench
79.980000,clench
