event_time_s,label
9.940000,down
14.920000,down
20.020000,down
25.480000,down
30.840000,down
36.400000,down
41.340000,down
46.240000,down
51.300000,down
56.480000,down
61.140000,down
65.980000,down
70.720000,down
75.980000,down
81.260000,down
86.020000,down
90.940000,down
95.360000,down
100.320000,down
104.780000,down
109.840000,down
114.460000,down
119.400000,down
123.720000,down
128.200000,down
132.720000,down
137.080000,down
141.740000,down
146.760000,down
151.560000,down
