event_time_s,label
8.900000,down
11.460000,down
14.820000,down
18.760000,down
22.320000,down
25.580000,down
28.780000,down
31.680000,down
35.120000,down
38.160000,down
41.300000,down
44.640000,down
48.100000,down
51.600000,down
54.700000,down
57.760000,down
61.240000,down
64.580000,down
68.180000,down
71.720000,down
75.100000,down
78.640000,down
82.420000,down
86.440000,down
90.420000,down
94.020000,down
97.800000,down
102.080000,down
106.140000,down
110.140000,down
