event_time_s,label
2.020000,pinch
3.780000,pinch
6.480000,pinch
8.980000,pinch
11.180000,pinch
13.340000,pinch
15.360000,pinch
17.640000,pinch
20.080000,pinch
22.600000,pinch
25.740000,pinch
27.880000,pinch
30.180000,pinch
32.840000,pinch
35.240000,pinch
37.780000,pinch
40.140000,pinch
42.360000,pinch
45.060000,pinch
47.400000,pinch
50.880000,pinch
53.480000,pinch
56.120000,pinch
58.620000,pinch
61.020000,pinch
63.360000,pinch
65.820000,pinch
68.040000,pinch
70.520000,pinch
72.760000,pinch
