event_time_s,label
2.180000,pinch
4.000000,pinch
6.060000,pinch
8.300000,pinch
10.400000,pinch
12.500000,pinch
14.580000,pinch
16.440000,pinch
18.380000,pinch
20.540000,pinch
22.680000,pinch
24.700000,pinch
26.880000,pinch
29.140000,pinch
31.640000,pinch
33.840000,pinch
36.060000,pinch
38.300000,pinch
40.340000,pinch
42.560000,pinch
45.040000,pinch
47.120000,pinch
49.060000,pinch
51.680000,pinch
53.960000,pinch
56.020000,pinch
58.200000,pinch
60.480000,pinch
62.860000,pinch
65.120000,pinch
