event_time_s,label
3.320000,up
6.320000,up
9.620000,up
12.900000,up
16.180000,up
20.000000,up
23.580000,up
27.280000,up
30.460000,up
33.820000,up
37.580000,up
41.060000,up
44.320000,up
47.500000,up
50.840000,up
54.280000,up
57.620000,up
61.060000,up
64.520000,up
67.800000,up
71.100000,up
74.380000,up
77.380000,up
80.340000,up
83.800000,up
87.020000,up
90.080000,up
93.380000,up
96.880000,up
100.180000,up
103.700000,up
107.140000,up
110.680000,up
113.900000,up
117.380000,up
120.920000,up
124.600000,up
127.880000,up
131.460000,up
135.040000,up
138.720000,up
142.260000,up
145.820000,up
149.280000,up
152.900000,up
156.520000,up
160.180000,up
163.600000,up
167.260000,up
170.820000,up
174.520000,up
178.200000,up
181.760000,up
185.120000,up
188.660000,up
192.620000,up
196.500000,up
199.960000,up
203.820000,up
207.320000,up
211.240000,up
214.760000,up
218.560000,up
221.980000,up
225.380000,up
228.960000,up
232.660000,up
235.660000,up
239.060000,up
242.160000,up
245.700000,up
248.840000,up
252.360000,up
255.520000,up
258.740000,up
262.100000,up
265.860000,up
269.420000,up
272.780000,up
276.000000,up
279.180000,up
282.460000,up
285.780000,up
289.100000,up
292.020000,up
295.420000,up
299.100000,up
